#separator:tab
#html:true
#columns:CardType	SourceId	Prompt	Answer	Audio	Context	Tags
cloze	smal004	Fill the blank: Я живу в ____<br>I live in America	Америке<hr>Я живу́ в Аме́рике	[sound:zastolom_smal004.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p3 type_cloze source_smal004
cloze	smal005	Fill the blank: Мы ____ …<br>We met …	познакомились<hr>Мы познако́мились …	[sound:zastolom_smal005.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p2 type_cloze source_smal005
cloze	smal006	Fill the blank: Я ____ говорю по-русски<br>I speak a little Russian	немного<hr>Я немно́го говорю́ по-ру́сски	[sound:zastolom_smal006.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p1 type_cloze source_smal006
cloze	smal007	Fill the blank: Хорошо, ____<br>Good, thank you (answer to 'how are you')	спасибо<hr>Хорошо́, спаси́бо	[sound:zastolom_smal007.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p1 type_cloze source_smal007
cloze	smal009	Fill the blank: Да, ____<br>Yes, a little (answer)	немного<hr>Да, немно́го	[sound:zastolom_smal009.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p2 type_cloze source_smal009
cloze	list001	Fill the blank: Как ____?<br>How are you?	дела<hr>Как дела́?	[sound:zastolom_list001.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p1 type_cloze source_list001
cloze	list002	Fill the blank: ____ вы?<br>Where are you from?	Откуда<hr>Отку́да вы?	[sound:zastolom_list002.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p1 type_cloze source_list002
cloze	list003	Fill the blank: Кем вы ____?<br>What do you do for work?	работаете<hr>Кем вы рабо́таете?	[sound:zastolom_list003.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p2 type_cloze source_list003
cloze	list004	Fill the blank: Вы ____ по-русски?<br>Do you speak Russian?	говорите<hr>Вы говори́те по-ру́сски?	[sound:zastolom_list004.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p1 type_cloze source_list004
cloze	list005	Fill the blank: Как вам ____?<br>How do you like Russia?	Россия<hr>Как ва́м Росси́я?	[sound:zastolom_list005.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p2 type_cloze source_list005
cloze	list006	Fill the blank: Как вы ____?<br>How did you two meet?	познакомились<hr>Как вы познако́мились?	[sound:zastolom_list006.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p2 type_cloze source_list006
cloze	list007	Fill the blank: Вам ____ …?<br>Do you like …?	нравится<hr>Вам нра́вится …?	[sound:zastolom_list007.mp3]	Sentence-level recall; produce the Russian chunk in context.	listening p2 type_cloze source_list007
cloze	verb001	Fill the blank: хочу / ____<br>I want / you (pl/formal) want — хоте́ть	хотите<hr>хочу́ / хоти́те	[sound:zastolom_verb001.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb001
cloze	verb002	Fill the blank: могу / ____<br>I can / you can — мочь	можете<hr>могу́ / мо́жете	[sound:zastolom_verb002.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb002
cloze	verb003	Fill the blank: говорю / ____<br>I speak / you speak — говори́ть	говорите<hr>говорю́ / говори́те	[sound:zastolom_verb003.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb003
cloze	verb004	Fill the blank: понимаю / ____<br>I understand / you understand — понима́ть	понимаете<hr>понима́ю / понима́ете	[sound:zastolom_verb004.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb004
cloze	verb005	Fill the blank: люблю / ____<br>I love / you love — люби́ть	любите<hr>люблю́ / лю́бите	[sound:zastolom_verb005.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb005
cloze	verb006	Fill the blank: работаю / ____<br>I work / you work — рабо́тать	работаете<hr>рабо́таю / рабо́таете	[sound:zastolom_verb006.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb006
cloze	verb007	Fill the blank: живу / ____<br>I live / you live — жить	живёте<hr>живу́ / живёте	[sound:zastolom_verb007.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb007
cloze	verb008	Fill the blank: ем / ____<br>I eat / you eat — есть	едите<hr>ем / еди́те	[sound:zastolom_verb008.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb008
cloze	verb009	Fill the blank: пью / ____<br>I drink / you drink — пить	пьёте<hr>пью / пьёте	[sound:zastolom_verb009.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb009
cloze	verb010	Fill the blank: знаю / ____<br>I know / you know — знать	знаете<hr>зна́ю / зна́ете	[sound:zastolom_verb010.mp3]	Sentence-level recall; produce the Russian chunk in context.	verbs p3 type_cloze source_verb010
dictation	firs001	Listen and type the Russian you hear.	Здра́вствуйте	[sound:zastolom_firs001.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p1 type_dictation source_firs001
dictation	firs002	Listen and type the Russian you hear.	До́брый ве́чер	[sound:zastolom_firs002.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p1 type_dictation source_firs002
dictation	firs003	Listen and type the Russian you hear.	До́брый день	[sound:zastolom_firs003.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p2 type_dictation source_firs003
dictation	firs004	Listen and type the Russian you hear.	До́брое у́тро	[sound:zastolom_firs004.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p2 type_dictation source_firs004
dictation	firs005	Listen and type the Russian you hear.	Меня́ зову́т Джо	[sound:zastolom_firs005.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p1 type_dictation source_firs005
dictation	firs006	Listen and type the Russian you hear.	О́чень прия́тно	[sound:zastolom_firs006.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p1 type_dictation source_firs006
dictation	firs007	Listen and type the Russian you hear.	Прия́тно познако́миться	[sound:zastolom_firs007.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p2 type_dictation source_firs007
dictation	firs008	Listen and type the Russian you hear.	Рад познако́миться	[sound:zastolom_firs008.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p2 type_dictation source_firs008
dictation	firs009	Listen and type the Russian you hear.	Разреши́те предста́виться	[sound:zastolom_firs009.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p3 type_dictation source_firs009
dictation	firs010	Listen and type the Russian you hear.	Спаси́бо, что пригласи́ли	[sound:zastolom_firs010.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p1 type_dictation source_firs010
dictation	firs011	Listen and type the Russian you hear.	Спаси́бо, что приня́ли	[sound:zastolom_firs011.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p2 type_dictation source_firs011
dictation	firs012	Listen and type the Russian you hear.	До свида́ния	[sound:zastolom_firs012.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p2 type_dictation source_firs012
dictation	firs013	Listen and type the Russian you hear.	Споко́йной но́чи	[sound:zastolom_firs013.mp3]	Audio-only comprehension and Cyrillic spelling.	first_contact p3 type_dictation source_firs013
dictation	poli001	Listen and type the Russian you hear.	Спаси́бо	[sound:zastolom_poli001.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli001
dictation	poli002	Listen and type the Russian you hear.	Спаси́бо большо́е	[sound:zastolom_poli002.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli002
dictation	poli003	Listen and type the Russian you hear.	Пожа́луйста	[sound:zastolom_poli003.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli003
dictation	poli004	Listen and type the Russian you hear.	Извини́те	[sound:zastolom_poli004.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli004
dictation	poli005	Listen and type the Russian you hear.	Прости́те	[sound:zastolom_poli005.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p2 type_dictation source_poli005
dictation	poli006	Listen and type the Russian you hear.	Мо́жно?	[sound:zastolom_poli006.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p2 type_dictation source_poli006
dictation	poli008	Listen and type the Russian you hear.	Нет, спаси́бо	[sound:zastolom_poli008.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli008
dictation	poli009	Listen and type the Russian you hear.	Я ещё учу́ ру́сский	[sound:zastolom_poli009.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli009
dictation	poli010	Listen and type the Russian you hear.	Повтори́те, пожа́луйста	[sound:zastolom_poli010.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli010
dictation	poli011	Listen and type the Russian you hear.	Поме́дленнее, пожа́луйста	[sound:zastolom_poli011.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli011
dictation	poli012	Listen and type the Russian you hear.	Я не понима́ю	[sound:zastolom_poli012.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli012
dictation	poli013	Listen and type the Russian you hear.	Я понима́ю	[sound:zastolom_poli013.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p2 type_dictation source_poli013
dictation	poli014	Listen and type the Russian you hear.	Поня́тно	[sound:zastolom_poli014.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p2 type_dictation source_poli014
dictation	poli015	Listen and type the Russian you hear.	Хорошо́	[sound:zastolom_poli015.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p1 type_dictation source_poli015
dictation	poli016	Listen and type the Russian you hear.	Отли́чно	[sound:zastolom_poli016.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p2 type_dictation source_poli016
dictation	poli017	Listen and type the Russian you hear.	Как по-ру́сски …?	[sound:zastolom_poli017.mp3]	Audio-only comprehension and Cyrillic spelling.	politeness p3 type_dictation source_poli017
dictation	toas001	Listen and type the Russian you hear.	За встре́чу!	[sound:zastolom_toas001.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p1 type_dictation source_toas001
dictation	toas002	Listen and type the Russian you hear.	За знако́мство!	[sound:zastolom_toas002.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas002
dictation	toas003	Listen and type the Russian you hear.	За роди́телей!	[sound:zastolom_toas003.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas003
dictation	toas004	Listen and type the Russian you hear.	За хозя́йку!	[sound:zastolom_toas004.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas004
dictation	toas005	Listen and type the Russian you hear.	За хозя́ев!	[sound:zastolom_toas005.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas005
dictation	toas006	Listen and type the Russian you hear.	За ва́ше здоро́вье!	[sound:zastolom_toas006.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p1 type_dictation source_toas006
dictation	toas007	Listen and type the Russian you hear.	За здоро́вье!	[sound:zastolom_toas007.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas007
dictation	toas008	Listen and type the Russian you hear.	За семью́!	[sound:zastolom_toas008.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas008
dictation	toas009	Listen and type the Russian you hear.	За любо́вь!	[sound:zastolom_toas009.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas009
dictation	toas010	Listen and type the Russian you hear.	За молоды́х!	[sound:zastolom_toas010.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p3 type_dictation source_toas010
dictation	toas011	Listen and type the Russian you hear.	Бу́дем здоро́вы!	[sound:zastolom_toas011.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas011
dictation	toas012	Listen and type the Russian you hear.	Я хочу́ сказа́ть тост за …	[sound:zastolom_toas012.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p2 type_dictation source_toas012
dictation	toas013	Listen and type the Russian you hear.	Дава́йте вы́пьем за э́то!	[sound:zastolom_toas013.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p3 type_dictation source_toas013
dictation	toas014	Listen and type the Russian you hear.	до дна́	[sound:zastolom_toas014.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p3 type_dictation source_toas014
dictation	toas015	Listen and type the Russian you hear.	бока́л	[sound:zastolom_toas015.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p3 type_dictation source_toas015
dictation	toas016	Listen and type the Russian you hear.	рю́мка	[sound:zastolom_toas016.mp3]	Audio-only comprehension and Cyrillic spelling.	toasts p3 type_dictation source_toas016
dictation	fami001	Listen and type the Russian you hear.	семья́	[sound:zastolom_fami001.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami001
dictation	fami002	Listen and type the Russian you hear.	жена́	[sound:zastolom_fami002.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami002
dictation	fami005	Listen and type the Russian you hear.	тёща	[sound:zastolom_fami005.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami005
dictation	fami007	Listen and type the Russian you hear.	шу́рин	[sound:zastolom_fami007.mp3]	Audio-only comprehension and Cyrillic spelling.	family p3 type_dictation source_fami007
dictation	fami008	Listen and type the Russian you hear.	сестра́ жены́	[sound:zastolom_fami008.mp3]	Audio-only comprehension and Cyrillic spelling.	family p3 type_dictation source_fami008
dictation	fami009	Listen and type the Russian you hear.	ма́ма	[sound:zastolom_fami009.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami009
dictation	fami010	Listen and type the Russian you hear.	па́па	[sound:zastolom_fami010.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami010
dictation	fami011	Listen and type the Russian you hear.	роди́тели	[sound:zastolom_fami011.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami011
dictation	fami012	Listen and type the Russian you hear.	ба́бушка	[sound:zastolom_fami012.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami012
dictation	fami013	Listen and type the Russian you hear.	де́душка	[sound:zastolom_fami013.mp3]	Audio-only comprehension and Cyrillic spelling.	family p2 type_dictation source_fami013
dictation	fami017	Listen and type the Russian you hear.	сестра́	[sound:zastolom_fami017.mp3]	Audio-only comprehension and Cyrillic spelling.	family p3 type_dictation source_fami017
dictation	fami018	Listen and type the Russian you hear.	де́ти	[sound:zastolom_fami018.mp3]	Audio-only comprehension and Cyrillic spelling.	family p3 type_dictation source_fami018
dictation	fami019	Listen and type the Russian you hear.	Я люблю́ ва́шу дочь	[sound:zastolom_fami019.mp3]	Audio-only comprehension and Cyrillic spelling.	family p1 type_dictation source_fami019
dictation	food001	Listen and type the Russian you hear.	Прия́тного аппети́та!	[sound:zastolom_food001.mp3]	Audio-only comprehension and Cyrillic spelling.	food p1 type_dictation source_food001
dictation	food002	Listen and type the Russian you hear.	О́чень вку́сно!	[sound:zastolom_food002.mp3]	Audio-only comprehension and Cyrillic spelling.	food p1 type_dictation source_food002
dictation	food003	Listen and type the Russian you hear.	Вку́сно!	[sound:zastolom_food003.mp3]	Audio-only comprehension and Cyrillic spelling.	food p2 type_dictation source_food003
dictation	food004	Listen and type the Russian you hear.	Спаси́бо, бы́ло о́чень вку́сно	[sound:zastolom_food004.mp3]	Audio-only comprehension and Cyrillic spelling.	food p1 type_dictation source_food004
dictation	food005	Listen and type the Russian you hear.	Мне о́чень нра́вится	[sound:zastolom_food005.mp3]	Audio-only comprehension and Cyrillic spelling.	food p2 type_dictation source_food005
dictation	food006	Listen and type the Russian you hear.	Я нае́лся	[sound:zastolom_food006.mp3]	Audio-only comprehension and Cyrillic spelling.	food p2 type_dictation source_food006
dictation	food007	Listen and type the Russian you hear.	Мо́жно ещё?	[sound:zastolom_food007.mp3]	Audio-only comprehension and Cyrillic spelling.	food p2 type_dictation source_food007
dictation	food008	Listen and type the Russian you hear.	Спаси́бо, не на́до	[sound:zastolom_food008.mp3]	Audio-only comprehension and Cyrillic spelling.	food p2 type_dictation source_food008
dictation	food009	Listen and type the Russian you hear.	Переда́йте, пожа́луйста, хлеб	[sound:zastolom_food009.mp3]	Audio-only comprehension and Cyrillic spelling.	food p3 type_dictation source_food009
dictation	food010	Listen and type the Russian you hear.	Мо́жно ча́ю?	[sound:zastolom_food010.mp3]	Audio-only comprehension and Cyrillic spelling.	food p3 type_dictation source_food010
dictation	food012	Listen and type the Russian you hear.	пельме́ни	[sound:zastolom_food012.mp3]	Audio-only comprehension and Cyrillic spelling.	food p3 type_dictation source_food012
dictation	food013	Listen and type the Russian you hear.	блины́	[sound:zastolom_food013.mp3]	Audio-only comprehension and Cyrillic spelling.	food p3 type_dictation source_food013
dictation	food014	Listen and type the Russian you hear.	оливье́	[sound:zastolom_food014.mp3]	Audio-only comprehension and Cyrillic spelling.	food p3 type_dictation source_food014
dictation	food016	Listen and type the Russian you hear.	во́дка	[sound:zastolom_food016.mp3]	Audio-only comprehension and Cyrillic spelling.	food p3 type_dictation source_food016
