#separator:tab
#html:true
#columns:English	Russian	Pronunciation	Note	Tags
To the family!	<div style="font-size:2em">За семью́!</div>[sound:zastolom_toas008.mp3]	[za syem-yú]		toasts p2
To love!	<div style="font-size:2em">За любо́вь!</div>[sound:zastolom_toas009.mp3]	[za lyu-bóf']		toasts p2
To the newlyweds!	<div style="font-size:2em">За молоды́х!</div>[sound:zastolom_toas010.mp3]	[za ma-la-dýh]		toasts p3
Let's be healthy! (full toast)	<div style="font-size:2em">Бу́дем здоро́вы!</div>[sound:zastolom_toas011.mp3]	[bú-dyem zda-ró-vy]		toasts p2
I want to make a toast to …	<div style="font-size:2em">Я хочу́ сказа́ть тост за …</div>[sound:zastolom_toas012.mp3]	[ya ha-chú ska-zát' tost za]		toasts p2
Let's drink to that!	<div style="font-size:2em">Дава́йте вы́пьем за э́то!</div>[sound:zastolom_toas013.mp3]	[da-váy-tye výp-yem za é-ta]		toasts p3
'to the bottom' (drain the glass)	<div style="font-size:2em">до дна́</div>[sound:zastolom_toas014.mp3]	[da dná] — not required every toast		toasts p3
(wine) glass	<div style="font-size:2em">бока́л</div>[sound:zastolom_toas015.mp3]	[ba-kál]		toasts p3
shot glass (for vodka)	<div style="font-size:2em">рю́мка</div>[sound:zastolom_toas016.mp3]	[ryúm-ka]		toasts p3
family	<div style="font-size:2em">семья́</div>[sound:zastolom_fami001.mp3]	[syem-yá]		family p2
wife	<div style="font-size:2em">жена́</div>[sound:zastolom_fami002.mp3]	[zhe-ná]		family p2
husband	<div style="font-size:2em">муж</div>[sound:zastolom_fami003.mp3]	final ж → [sh]: [mush]		family p2
father-in-law (wife's father — yours)	<div style="font-size:2em">тесть</div>[sound:zastolom_fami004.mp3]	soft: [tyest']	Referential term; address him by name+patronymic, not 'тесть'.	family p2
mother-in-law (wife's mother — yours)	<div style="font-size:2em">тёща</div>[sound:zastolom_fami005.mp3]	[tyó-shcha]	Referential; address her by name+patronymic.	family p2
son-in-law (= what YOU are to them)	<div style="font-size:2em">зять</div>[sound:zastolom_fami006.mp3]	[zyat']		family p2
wife's brother (your brother-in-law)	<div style="font-size:2em">шу́рин</div>[sound:zastolom_fami007.mp3]	[shú-rin] — everyday: «брат жены́»		family p3
wife's sister (your sister-in-law)	<div style="font-size:2em">сестра́ жены́</div>[sound:zastolom_fami008.mp3]	[se-strá zhe-ný] — what people actually say; the formal kinship term is своя́ченица		family p3
mom	<div style="font-size:2em">ма́ма</div>[sound:zastolom_fami009.mp3]	[má-ma]		family p2
dad	<div style="font-size:2em">па́па</div>[sound:zastolom_fami010.mp3]	[pá-pa]		family p2
parents	<div style="font-size:2em">роди́тели</div>[sound:zastolom_fami011.mp3]	о → [a]: [ra-dí-te-li]		family p2
grandmother	<div style="font-size:2em">ба́бушка</div>[sound:zastolom_fami012.mp3]	[bá-bush-ka]		family p2
grandfather	<div style="font-size:2em">де́душка</div>[sound:zastolom_fami013.mp3]	[dyé-dush-ka]		family p2
son	<div style="font-size:2em">сын</div>[sound:zastolom_fami014.mp3]	[syn]		family p3
daughter	<div style="font-size:2em">дочь</div>[sound:zastolom_fami015.mp3]	soft ч: [doch']		family p2
brother	<div style="font-size:2em">брат</div>[sound:zastolom_fami016.mp3]	[brat]		family p3
sister	<div style="font-size:2em">сестра́</div>[sound:zastolom_fami017.mp3]	[se-strá]		family p3
children	<div style="font-size:2em">де́ти</div>[sound:zastolom_fami018.mp3]	[dyé-ti]		family p3
I love your daughter	<div style="font-size:2em">Я люблю́ ва́шу дочь</div>[sound:zastolom_fami019.mp3]	the line that wins the table: [ya lyu-blyú vá-shu doch']		family p1
Bon appétit!	<div style="font-size:2em">Прия́тного аппети́та!</div>[sound:zastolom_food001.mp3]	-ого → [-ava]: [pri-yát-na-va a-pe-tí-ta]		food p1
Very tasty!	<div style="font-size:2em">О́чень вку́сно!</div>[sound:zastolom_food002.mp3]	[ó-chen' fkús-na]		food p1
Tasty!	<div style="font-size:2em">Вку́сно!</div>[sound:zastolom_food003.mp3]	[fkús-na]		food p2
Thank you, it was delicious	<div style="font-size:2em">Спаси́бо, бы́ло о́чень вку́сно</div>[sound:zastolom_food004.mp3]	the after-dinner thank-you		food p1
I really like it	<div style="font-size:2em">Мне о́чень нра́вится</div>[sound:zastolom_food005.mp3]	[mnye ó-chen' nrá-vi-tsa]		food p2
I'm full (I've eaten my fill)	<div style="font-size:2em">Я нае́лся</div><div style="font-size:0.75em;color:#888">(male form)</div>[sound:zastolom_food006.mp3]	MALE form -лся; a woman says нае́лась		food p2
May I have more?	<div style="font-size:2em">Мо́жно ещё?</div>[sound:zastolom_food007.mp3]	[mózh-na ye-shchó]		food p2
Thanks, I'm good (no need)	<div style="font-size:2em">Спаси́бо, не на́до</div>[sound:zastolom_food008.mp3]	[spa-sí-ba nye ná-da]		food p2
Please pass the bread	<div style="font-size:2em">Переда́йте, пожа́луйста, хлеб</div>[sound:zastolom_food009.mp3]	[pe-re-dáy-tye pa-zhá-lus-ta] — swap хлеб for any dish		food p3
May I have some tea?	<div style="font-size:2em">Мо́жно ча́ю?</div>[sound:zastolom_food010.mp3]	[mózh-na chá-yu]		food p3
borscht (beet soup)	<div style="font-size:2em">борщ</div>[sound:zastolom_food011.mp3]	[borshch]	(focus: understand when heard)	food p3 recognize
meat dumplings	<div style="font-size:2em">пельме́ни</div>[sound:zastolom_food012.mp3]	[pel'-myé-ni]	(focus: understand when heard)	food p3 recognize
blini (thin pancakes)	<div style="font-size:2em">блины́</div>[sound:zastolom_food013.mp3]	[bli-ný]	(focus: understand when heard)	food p3 recognize
Olivier (Russian potato salad)	<div style="font-size:2em">оливье́</div>[sound:zastolom_food014.mp3]	[a-liv-yé]	(focus: understand when heard)	food p3 recognize
tea	<div style="font-size:2em">чай</div>[sound:zastolom_food015.mp3]	[chay]	(focus: understand when heard)	food p3 recognize
vodka	<div style="font-size:2em">во́дка</div>[sound:zastolom_food016.mp3]	[vód-ka]	(focus: understand when heard)	food p3 recognize
I'm a lawyer (general — use this)	<div style="font-size:2em">Я юри́ст</div>[sound:zastolom_smal001.mp3]	[ya yu-ríst]	адвокат = courtroom/bar advocate, narrower.	smalltalk p2
I'm from America	<div style="font-size:2em">Я из Аме́рики</div>[sound:zastolom_smal002.mp3]	[ya iz a-myé-ri-ki]		smalltalk p2
I'm from the state of Missouri	<div style="font-size:2em">Я из шта́та Миссу́ри</div>[sound:zastolom_smal003.mp3]	[ya is shtá-ta mis-sú-ri] — Миссу́ри is indeclinable; bare «Я из Миссу́ри» works too		smalltalk p3
I live in America	<div style="font-size:2em">Я живу́ в Аме́рике</div>[sound:zastolom_smal004.mp3]	[ya zhi-vú v a-myé-ri-kye]		smalltalk p3
We met …	<div style="font-size:2em">Мы познако́мились …</div>[sound:zastolom_smal005.mp3]	lit. 'got acquainted': [my pa-zna-kó-mi-lis']		smalltalk p2
I speak a little Russian	<div style="font-size:2em">Я немно́го говорю́ по-ру́сски</div>[sound:zastolom_smal006.mp3]	[ya nem-nó-ga ga-va-ryú pa-rús-ski]		smalltalk p1
Good, thank you (answer to 'how are you')	<div style="font-size:2em">Хорошо́, спаси́бо</div>[sound:zastolom_smal007.mp3]			smalltalk p1
Fine / OK (answer)	<div style="font-size:2em">Норма́льно</div>[sound:zastolom_smal008.mp3]	[nar-mál'-na]		smalltalk p2
Yes, a little (answer)	<div style="font-size:2em">Да, немно́го</div>[sound:zastolom_smal009.mp3]			smalltalk p2
How are you?	<div style="font-size:2em">Как дела́?</div>[sound:zastolom_list001.mp3]	[kak de-lá]	(focus: understand when heard)	listening p1 recognize
Where are you from?	<div style="font-size:2em">Отку́да вы?</div>[sound:zastolom_list002.mp3]	[at-kú-da vy]	(focus: understand when heard)	listening p1 recognize
What do you do for work?	<div style="font-size:2em">Кем вы рабо́таете?</div>[sound:zastolom_list003.mp3]	lit. 'as whom do you work': [kyem vy ra-bó-ta-ye-tye]	(focus: understand when heard)	listening p2 recognize
Do you speak Russian?	<div style="font-size:2em">Вы говори́те по-ру́сски?</div>[sound:zastolom_list004.mp3]	[vy ga-va-rí-tye pa-rús-ski]	(focus: understand when heard)	listening p1 recognize
How do you like Russia?	<div style="font-size:2em">Как ва́м Росси́я?</div>[sound:zastolom_list005.mp3]	[kak vam ra-ssí-ya]	(focus: understand when heard)	listening p2 recognize
How did you two meet?	<div style="font-size:2em">Как вы познако́мились?</div>[sound:zastolom_list006.mp3]	[kak vy pa-zna-kó-mi-lis']	(focus: understand when heard)	listening p2 recognize
Do you like …?	<div style="font-size:2em">Вам нра́вится …?</div>[sound:zastolom_list007.mp3]	[vam nrá-vi-tsa]	(focus: understand when heard)	listening p2 recognize
More? (offering food/drink)	<div style="font-size:2em">Ещё?</div>[sound:zastolom_list008.mp3]	[ye-shchó]	(focus: understand when heard)	listening p1 recognize
Will you have …? (offering)	<div style="font-size:2em">Бу́дете …?</div>[sound:zastolom_list009.mp3]	[bú-dye-tye] — e.g. «Бу́дете чай?»	(focus: understand when heard)	listening p3 recognize
What is the weather like today?	<div style="font-size:2em">Ка́кая сего́дня пого́да?</div>[sound:zastolom_cale001.mp3]	[ká-ka-ya si-vód-nya pa-gó-da]	(focus: understand when heard)	calendar_weather p2 recognize
How is it outside?	<div style="font-size:2em">Как там на у́лице?</div>[sound:zastolom_cale002.mp3]	[kak tam na ú-li-tse]	(focus: understand when heard)	calendar_weather p2 recognize
Today it's cold.	<div style="font-size:2em">Сего́дня хо́лодно.</div>[sound:zastolom_cale003.mp3]	[si-vód-nya hó-lad-na]		calendar_weather p2
Today it's warm.	<div style="font-size:2em">Сего́дня тепло́.</div>[sound:zastolom_cale004.mp3]	[si-vód-nya tip-ló]		calendar_weather p2
Today it's sunny.	<div style="font-size:2em">Сего́дня со́лнечно.</div>[sound:zastolom_cale005.mp3]	[si-vód-nya sól-nech-na]		calendar_weather p2
Today it's cloudy.	<div style="font-size:2em">Сего́дня о́блачно.</div>[sound:zastolom_cale006.mp3]	[si-vód-nya ób-lach-na]		calendar_weather p2
It's raining.	<div style="font-size:2em">Идёт дождь.</div>[sound:zastolom_cale007.mp3]	[i-dyót doshch]		calendar_weather p2
It's snowing.	<div style="font-size:2em">Идёт снег.</div>[sound:zastolom_cale008.mp3]	[i-dyót snyek]		calendar_weather p2
It was sunny yesterday.	<div style="font-size:2em">Вчера́ бы́ло со́лнечно.</div>[sound:zastolom_cale009.mp3]	[vchi-rá bý-la sól-nech-na]		calendar_weather p3
Tomorrow it will be warm.	<div style="font-size:2em">За́втра бу́дет тепло́.</div>[sound:zastolom_cale010.mp3]	[záf-tra bú-dyet tip-ló]		calendar_weather p3
What day of the week is it today?	<div style="font-size:2em">Како́й сего́дня день неде́ли?</div>[sound:zastolom_cale011.mp3]	[ka-kóy si-vód-nya dyen' ni-dyé-li]	(focus: understand when heard)	calendar_weather p2 recognize
Monday	<div style="font-size:2em">понеде́льник</div>[sound:zastolom_cale012.mp3]	[pa-ni-dyél'-nik]		calendar_weather p3
Tuesday	<div style="font-size:2em">вто́рник</div>[sound:zastolom_cale013.mp3]	[ftór-nik]		calendar_weather p3
Wednesday	<div style="font-size:2em">среда́</div>[sound:zastolom_cale014.mp3]	[sri-dá]		calendar_weather p3
Thursday	<div style="font-size:2em">четве́рг</div>[sound:zastolom_cale015.mp3]	[chit-vyérk]		calendar_weather p3
Friday	<div style="font-size:2em">пя́тница</div>[sound:zastolom_cale016.mp3]	[pyát-ni-tsa]		calendar_weather p3
Saturday	<div style="font-size:2em">суббо́та</div>[sound:zastolom_cale017.mp3]	[su-bó-ta]		calendar_weather p3
Sunday	<div style="font-size:2em">воскресе́нье</div>[sound:zastolom_cale018.mp3]	[vas-kri-syén'-ye]		calendar_weather p3
on the weekend	<div style="font-size:2em">на выходны́х</div>[sound:zastolom_cale019.mp3]	[na vy-had-nýh]		calendar_weather p3
We're going to Budva.	<div style="font-size:2em">Мы е́дем в Бу́дву.</div>[sound:zastolom_trav001.mp3]	[my yé-dem v búd-vu]		travel_budva p2
We'll be in Montenegro.	<div style="font-size:2em">Мы бу́дем в Черного́рии.</div>[sound:zastolom_trav002.mp3]	[my bú-dem f chir-na-gó-ri-i]		travel_budva p2
We'll be in Budva.	<div style="font-size:2em">Мы бу́дем в Бу́две.</div>[sound:zastolom_trav003.mp3]	[my bú-dem v búd-vye]		travel_budva p2
Where is our hotel?	<div style="font-size:2em">Где на́ш о́тель?</div>[sound:zastolom_trav004.mp3]	[gdye nash ó-tel']	(focus: understand when heard)	travel_budva p2 recognize
Can we get a taxi?	<div style="font-size:2em">Мо́жно такси́?</div>[sound:zastolom_trav005.mp3]	[mózh-na tak-sí]		travel_budva p2
How long is the ride to the hotel?	<div style="font-size:2em">Ско́лько е́хать до о́теля?</div>[sound:zastolom_trav006.mp3]	[skól'-ka yé-hat' da ó-te-lya]	(focus: understand when heard)	travel_budva p2 recognize
Where is the beach?	<div style="font-size:2em">Где пляж?</div>[sound:zastolom_trav007.mp3]	[gdye plyazh]	(focus: understand when heard)	travel_budva p2 recognize
I want to walk by the sea.	<div style="font-size:2em">Я хочу́ погуля́ть у мо́ря.</div>[sound:zastolom_trav008.mp3]	[ya ha-chú pa-gu-lyát' u mó-rya]		travel_budva p2
The old town is very beautiful.	<div style="font-size:2em">Ста́рый го́род о́чень краси́вый.</div>[sound:zastolom_trav009.mp3]	[stá-ryy gó-rat ó-chen' kra-sí-vyy]		travel_budva p2
The sea is very beautiful.	<div style="font-size:2em">Мо́ре о́чень краси́вое.</div>[sound:zastolom_trav010.mp3]	[mó-re ó-chen' kra-sí-va-ye]		travel_budva p2
We're relaxing / on vacation.	<div style="font-size:2em">Мы отдыха́ем.</div>[sound:zastolom_trav011.mp3]	[my at-dy-há-yem]		travel_budva p2
We're here with family.	<div style="font-size:2em">Мы здесь с семьёй.</div>[sound:zastolom_trav012.mp3]	[my zdyes' s sim-yóy]		travel_budva p2
The check, please.	<div style="font-size:2em">Счёт, пожа́луйста.</div>[sound:zastolom_trav013.mp3]	[shchyot pa-zhá-luy-sta]		travel_budva p2
We want to have dinner.	<div style="font-size:2em">Мы хоти́м поу́жинать.</div>[sound:zastolom_trav014.mp3]	[my ha-tím pa-ú-zhi-nat']		travel_budva p2
I want / you (pl/formal) want — хоте́ть	<div style="font-size:2em">хочу́ / хоти́те</div>[sound:zastolom_verb001.mp3]	[ha-chú / ha-tí-tye]		verbs p3
I can / you can — мочь	<div style="font-size:2em">могу́ / мо́жете</div>[sound:zastolom_verb002.mp3]	[ma-gú / mó-zhe-tye]		verbs p3
I speak / you speak — говори́ть	<div style="font-size:2em">говорю́ / говори́те</div>[sound:zastolom_verb003.mp3]	[ga-va-ryú / ga-va-rí-tye]		verbs p3
I understand / you understand — понима́ть	<div style="font-size:2em">понима́ю / понима́ете</div>[sound:zastolom_verb004.mp3]			verbs p3
I love / you love — люби́ть	<div style="font-size:2em">люблю́ / лю́бите</div>[sound:zastolom_verb005.mp3]	[lyu-blyú / lyú-bi-tye]		verbs p3
I work / you work — рабо́тать	<div style="font-size:2em">рабо́таю / рабо́таете</div>[sound:zastolom_verb006.mp3]			verbs p3
I live / you live — жить	<div style="font-size:2em">живу́ / живёте</div>[sound:zastolom_verb007.mp3]	[zhi-vú / zhi-vyó-tye]		verbs p3
I eat / you eat — есть	<div style="font-size:2em">ем / еди́те</div>[sound:zastolom_verb008.mp3]	[yem / ye-dí-tye]		verbs p3
I drink / you drink — пить	<div style="font-size:2em">пью / пьёте</div>[sound:zastolom_verb009.mp3]	[pyu / pyó-tye]		verbs p3
I know / you know — знать	<div style="font-size:2em">зна́ю / зна́ете</div>[sound:zastolom_verb010.mp3]			verbs p3
